subject,status,sec,error,limit,limit_float,m_at_infinity,m_at_infinity_float,generic_rank,rank_at_infinity,method,has_weighting_at_infinity,poles_status,n_poles,largest_pole_t,degree_den
0,ok,15.50698962493334,,63/8,7.875,91/10,9.1,23.0,22.0,bordered determinant (generic full rank),True,ok,3.0,0.40614840812445707,126.0
1,ok,19.571458166930825,,17,17.0,18,18.0,23.0,22.0,bordered determinant (generic full rank),True,ok,2.0,1.0464486040891785,123.0
2,ok,21.543884375016205,,81/5,16.2,20,20.0,23.0,20.0,bordered determinant (generic full rank),True,ok,3.0,0.6656566047633794,126.0
3,timeout,300.00094033393543,,,,,,,,,,,,,
4,ok,22.333117708098143,,21,21.0,22,22.0,23.0,22.0,bordered determinant (generic full rank),True,ok,6.0,0.622050104501573,119.0
5,ok,37.585547083988786,,17,17.0,17,17.0,23.0,23.0,bordered determinant (generic full rank),True,ok,4.0,0.46114190096386243,139.0
6,ok,21.988080832990818,,10,10.0,12,12.0,23.0,20.0,bordered determinant (generic full rank),True,ok,2.0,0.43350067845323814,135.0
7,ok,32.793817208963446,,16,16.0,16,16.0,23.0,23.0,bordered determinant (generic full rank),True,ok,4.0,0.6755283405141954,135.0
8,timeout,300.0011137910187,,,,,,,,,,,,,
9,ok,5.531487624975853,,19,19.0,20,20.0,23.0,20.0,bordered determinant (generic full rank),True,ok,2.0,0.6440216332622257,79.0
10,ok,53.518746790941805,,21,21.0,22,22.0,23.0,22.0,bordered determinant (generic full rank),True,ok,6.0,0.4763552445610027,137.0
11,ok,43.49920574994758,,17,17.0,19,19.0,23.0,21.0,bordered determinant (generic full rank),True,ok,4.0,0.43331555641890185,130.0
12,ok,37.33549966698047,,14,14.0,15,15.0,23.0,22.0,bordered determinant (generic full rank),True,ok,4.0,0.8875295542558249,132.0
13,ok,7.670963625074364,,5,5.0,5,5.0,23.0,22.0,bordered determinant (generic full rank),True,ok,0.0,,7.0
14,timeout,300.0012130420655,,,,,,,,,,,,,
15,ok,25.11176041699946,,13,13.0,13,13.0,23.0,22.0,bordered determinant (generic full rank),True,ok,2.0,0.7955542268144852,125.0
16,ok,31.39461737498641,,12,12.0,15,15.0,23.0,21.0,bordered determinant (generic full rank),True,ok,4.0,0.9283485401861917,132.0
17,ok,22.74294404091779,,12,12.0,12,12.0,23.0,22.0,bordered determinant (generic full rank),True,ok,3.0,1.1798647528245008,119.0
18,ok,30.43154024996329,,10,10.0,12,12.0,23.0,20.0,bordered determinant (generic full rank),True,ok,5.0,0.5790230782189709,135.0
19,ok,20.551174541935325,,21,21.0,22,22.0,23.0,22.0,bordered determinant (generic full rank),True,ok,3.0,0.4158938992589839,101.0
20,ok,38.572917499928735,,181/13,13.923076923076923,13,13.0,23.0,21.0,bordered determinant (generic full rank),True,ok,3.0,0.719209339668117,127.0
21,ok,27.110314707970247,,90/13,6.923076923076923,90/13,6.923076923076923,23.0,23.0,bordered determinant (generic full rank),True,ok,2.0,1.6529219008359513,135.0
22,ok,23.200930749997497,,13,13.0,14,14.0,23.0,22.0,bordered determinant (generic full rank),True,ok,3.0,1.4477345055199404,124.0
23,ok,24.421655416022986,,10,10.0,10,10.0,23.0,23.0,bordered determinant (generic full rank),True,ok,1.0,0.6180641616182997,121.0
24,ok,27.583245875081047,,82/5,16.4,20,20.0,23.0,20.0,bordered determinant (generic full rank),True,ok,2.0,0.33009886096065216,123.0
25,ok,10.804993416997604,,21,21.0,22,22.0,23.0,22.0,bordered determinant (generic full rank),True,ok,2.0,0.17584914070766267,91.0
26,ok,22.678907291963696,,14,14.0,16,16.0,23.0,22.0,bordered determinant (generic full rank),True,ok,4.0,0.5597669395074583,125.0
27,ok,26.471658583031967,,21,21.0,22,22.0,23.0,22.0,bordered determinant (generic full rank),True,ok,5.0,0.44022592863269777,120.0
28,ok,30.80591854196973,,11,11.0,11,11.0,23.0,21.0,bordered determinant (generic full rank),True,ok,2.0,0.9883893362939841,135.0
29,ok,36.38368291698862,,6,6.0,6,6.0,23.0,23.0,bordered determinant (generic full rank),True,ok,3.0,0.9940949491987227,139.0
