subject,status,sec,error,size,rank_at_infinity,limit,limit_float,limit_decimal,limit_method,limit_is_proved,curve_method,poles_method,n_poles,n_blind
0,ok,24.27907804097049,,23.0,22.0,63/8,7.875,7.875,symbolic,True,symbolic,symbolic,3.0,0.0
1,ok,21.532836957951076,,23.0,22.0,17,17.0,17,symbolic,True,symbolic,symbolic,2.0,0.0
2,ok,22.05642912501935,,23.0,20.0,81/5,16.2,16.2,symbolic,True,symbolic,symbolic,3.0,0.0
3,ok,61.002115292008966,,23.0,13.0,None,,nan,arbitrary_precision,False,arbitrary_precision,sign_change,0.0,260.0
4,ok,19.794705917011015,,23.0,22.0,21,21.0,21,symbolic,True,symbolic,symbolic,6.0,0.0
5,ok,0.514446874964051,,23.0,23.0,17,17.0,17,zero_pattern,True,arbitrary_precision,sign_change,4.0,0.0
6,ok,18.680988000007346,,23.0,20.0,10,10.0,10,symbolic,True,symbolic,symbolic,2.0,0.0
7,ok,0.41165008407551795,,23.0,23.0,16,16.0,16,zero_pattern,True,arbitrary_precision,sign_change,4.0,0.0
8,ok,60.99647237500176,,23.0,14.0,None,,nan,arbitrary_precision,False,arbitrary_precision,sign_change,0.0,260.0
9,ok,6.814949000021443,,23.0,20.0,19,19.0,19,symbolic,True,symbolic,symbolic,2.0,0.0
10,ok,46.92560387507547,,23.0,22.0,21,21.0,21,symbolic,True,symbolic,symbolic,6.0,0.0
11,ok,44.117824290995486,,23.0,21.0,17,17.0,17,symbolic,True,symbolic,symbolic,4.0,0.0
12,ok,31.980143290944397,,23.0,22.0,14,14.0,14,symbolic,True,symbolic,symbolic,4.0,0.0
13,ok,7.208343958016485,,23.0,22.0,5,5.0,5,symbolic,True,symbolic,symbolic,0.0,0.0
14,ok,60.69233079103287,,23.0,15.0,None,,nan,arbitrary_precision,False,arbitrary_precision,sign_change,0.0,260.0
15,ok,24.94086795905605,,23.0,22.0,13,13.0,13,symbolic,True,symbolic,symbolic,2.0,0.0
16,ok,27.31614474998787,,23.0,21.0,12,12.0,12,symbolic,True,symbolic,symbolic,4.0,0.0
17,ok,20.568829874973744,,23.0,22.0,12,12.0,12,symbolic,True,symbolic,symbolic,3.0,0.0
18,ok,24.743091207928956,,23.0,20.0,10,10.0,10,symbolic,True,symbolic,symbolic,5.0,0.0
19,ok,21.115756333922036,,23.0,22.0,21,21.0,21,symbolic,True,symbolic,symbolic,3.0,0.0
20,ok,28.933857584022917,,23.0,21.0,181/13,13.923076923076923,13.9230769230769,symbolic,True,symbolic,symbolic,3.0,0.0
21,ok,0.5505224169464782,,23.0,23.0,90/13,6.923076923076923,6.92307692307692,zero_pattern,True,arbitrary_precision,sign_change,2.0,0.0
22,ok,25.68674583407119,,23.0,22.0,13,13.0,13,symbolic,True,symbolic,symbolic,3.0,0.0
23,ok,0.5840830419911072,,23.0,23.0,10,10.0,10,zero_pattern,True,arbitrary_precision,sign_change,1.0,0.0
24,ok,31.996967375045642,,23.0,20.0,82/5,16.4,16.4,symbolic,True,symbolic,symbolic,2.0,0.0
25,ok,13.039648209000006,,23.0,22.0,21,21.0,21,symbolic,True,symbolic,symbolic,2.0,0.0
26,ok,21.413721541990526,,23.0,22.0,14,14.0,14,symbolic,True,symbolic,symbolic,4.0,0.0
27,ok,23.907038916950114,,23.0,22.0,21,21.0,21,symbolic,True,symbolic,symbolic,5.0,0.0
28,ok,33.633095833007246,,23.0,21.0,11,11.0,11,symbolic,True,symbolic,symbolic,2.0,0.0
29,ok,0.6072478330461308,,23.0,23.0,6,6.0,6,zero_pattern,True,arbitrary_precision,sign_change,3.0,0.0
