sub,status,prev,limit,limit_float,changed,rank,sec,error
0,ok,9.100000000000005,63/8,7.875,True,22.0,18.631683383000563,
1,ok,18.0,17,17.0,True,22.0,16.725409716000286,
2,ok,20.0,81/5,16.2,True,20.0,15.905388090000997,
3,timeout,11.000000000000002,,,,,300.0007738439999,
4,ok,22.0,21,21.0,True,22.0,11.13899962999858,
5,ok,17.0,17,17.0,False,23.0,27.709894179000912,
6,ok,12.0,10,10.0,True,20.0,15.220895173000827,
7,ok,16.000000000000007,16,16.0,False,23.0,19.985909259001346,
8,timeout,10.000000000000004,,,,,300.000697427,
9,ok,20.0,19,19.0,True,20.0,4.835738293999384,
10,ok,22.0,21,21.0,True,22.0,25.901907011999356,
11,ok,19.0,17,17.0,True,21.0,26.415203803999248,
12,ok,15.0,14,14.0,True,22.0,17.377318175000255,
13,ok,5.0000000000000036,5,5.0,False,22.0,6.047311586000433,
14,timeout,3.2222222222222276,,,,,300.0022493439992,
15,ok,12.999999999999996,13,13.0,False,22.0,13.30683433899867,
16,ok,14.999999999999988,12,12.0,True,21.0,15.15552146600021,
17,ok,12.000000000000004,12,12.0,False,22.0,12.457802462999098,
18,ok,11.999999999999993,10,10.0,True,20.0,11.324134463000519,
19,ok,22.0,21,21.0,True,22.0,13.06171192200054,
20,ok,13.000000000000002,181/13,13.923076923076923,True,21.0,14.134470548000536,
21,ok,6.923076923076931,90/13,6.923076923076923,False,23.0,22.306848051000998,
22,ok,14.000000000000004,13,13.0,True,22.0,15.363124757999685,
23,ok,9.999999999999993,10,10.0,False,23.0,23.43501176100108,
24,ok,20.0,82/5,16.4,True,20.0,21.648938050999277,
25,ok,22.0,21,21.0,True,22.0,8.619908712000324,
26,ok,16.0,14,14.0,True,22.0,12.182502170999214,
27,ok,22.0,21,21.0,True,22.0,12.682283255000584,
28,ok,11.000000000000002,11,11.0,False,21.0,24.10647430300014,
29,ok,5.999999999999992,6,6.0,False,23.0,25.783658428001218,
30,ok,21.0,16,16.0,True,21.0,19.431572800998765,
31,ok,22.0,18,18.0,True,22.0,12.13412388100005,
32,ok,5.000000000000005,5,5.0,False,23.0,29.904410971999823,
33,ok,21.0,56/3,18.666666666666668,True,21.0,14.458026590000372,
34,ok,22.0,21,21.0,True,22.0,14.423591840000881,
35,ok,19.0,17,17.0,True,21.0,15.831274840000333,
36,ok,16.0,16,16.0,False,22.0,16.266732215000957,
37,ok,14.000000000000002,14,14.0,False,18.0,13.430324088998532,
38,ok,6.999999999999994,101/15,6.733333333333333,True,22.0,13.740172421999887,
39,ok,11.666666666666663,35/3,11.666666666666666,False,23.0,23.49990667699967,
40,ok,10.00000000000001,10,10.0,False,21.0,23.735980343999472,
41,ok,22.0,21,21.0,True,22.0,6.20276616999945,
42,ok,12.000000000000002,4,4.0,True,20.0,20.588895134000268,
43,ok,19.0,17,17.0,True,21.0,8.345622963001006,
44,ok,17.0,163/12,13.583333333333334,True,19.0,13.354043588000422,
45,error,14.777777777777784,,,,,0.027842917001180467,ValueError: The all-ones vector is not in im A(infinity)
46,ok,19.0,16/3,5.333333333333333,True,19.0,13.77937533900149,
47,ok,15.999999999999979,-oo,-inf,True,22.0,14.803989298001397,
48,ok,6.000000000000001,6,6.0,False,16.0,11.705733504999444,
49,ok,13.0,64/7,9.142857142857142,True,21.0,16.867237008000302,
50,ok,15.999999999999998,15,15.0,True,20.0,19.239759967998907,
51,ok,14.999999999999996,-11/3,-3.6666666666666665,True,21.0,15.147726256998794,
52,ok,22.0,65/3,21.666666666666668,True,22.0,24.875384345001294,
53,ok,5.999999999999986,92/5,18.4,True,21.0,25.525689886999317,
54,ok,20.0,20,20.0,False,22.0,22.86592388600002,
55,ok,18.0,53/3,17.666666666666668,True,18.0,23.901162845000727,
56,ok,7.035087719298247,394/49,8.040816326530612,True,22.0,24.38613076099864,
57,ok,23.0,23,23.0,False,23.0,13.97038609000083,
58,ok,12.99999999999999,13,13.0,False,19.0,12.300519548000011,
59,ok,11.000000000000007,10,10.0,True,19.0,23.5465971779995,
60,ok,8.333333333333345,25/3,8.333333333333334,False,23.0,15.544418297999073,
61,ok,16.0,14,14.0,True,20.0,19.95682534200023,
62,ok,21.0,21,21.0,False,21.0,17.00060346600003,
63,ok,15.333333333333375,46/3,15.333333333333334,False,21.0,16.730311757999516,
64,ok,19.0,19,19.0,False,21.0,9.94142721299977,
65,ok,23.0,23,23.0,False,23.0,22.22044088599978,
66,ok,21.0,19,19.0,True,21.0,20.00108371799979,
67,ok,14.999999999999996,15,15.0,False,23.0,29.729108221999923,
68,ok,19.0,15,15.0,True,19.0,22.315849511000124,
69,ok,14.00000000000001,323/29,11.137931034482758,True,18.0,25.43540384500011,
70,ok,21.0,59/3,19.666666666666668,True,21.0,24.80428113599919,
71,ok,12.999999999999996,134/11,12.181818181818182,True,22.0,16.307387839999137,
72,ok,-19.000000000000817,-19,-19.0,False,23.0,14.151288629998817,
73,ok,12.000000000000002,66/7,9.428571428571429,True,21.0,25.27481221999915,
74,ok,15.66666666666667,47/3,15.666666666666666,False,19.0,28.647762513001,
75,timeout,11.0,,,,,300.0031106789993,
76,ok,13.00000000000001,10,10.0,True,21.0,25.89457922099973,
77,ok,22.0,21,21.0,True,22.0,13.151782879998791,
78,ok,21.0,21,21.0,False,23.0,29.684854637998797,
79,ok,12.999999999999998,13,13.0,False,21.0,21.210332259999632,
80,ok,14.000000000000004,12,12.0,True,21.0,16.3174581330004,
81,ok,14.999999999999996,144/11,13.090909090909092,True,19.0,17.428593632999764,
82,ok,22.0,21,21.0,True,22.0,19.066664883001067,
83,ok,19.0,19,19.0,False,23.0,16.630724256998292,
84,ok,18.0,18,18.0,False,22.0,17.15807000699897,
85,ok,11.400000000000007,57/5,11.4,False,21.0,24.69256855399908,
86,ok,18.0,17,17.0,True,22.0,6.019041795001613,
87,ok,8.999999999999998,46/5,9.2,True,22.0,20.48601888400117,
88,ok,22.0,21,21.0,True,22.0,55.42407344200001,
89,ok,10.0,45/7,6.428571428571429,True,21.0,17.151704756999607,
90,ok,6.999999999999999,7,7.0,False,23.0,25.230892261999543,
91,ok,15.0,14,14.0,True,19.0,40.6801111019995,
92,ok,17.0,16,16.0,True,19.0,57.44451994299925,
93,ok,12.000000000000004,11,11.0,True,22.0,24.208934594998937,
94,ok,20.0,19,19.0,True,22.0,64.89686223799981,
95,ok,7.000000000000005,7,7.0,False,21.0,61.34225161100039,
96,ok,7.999999999999995,2,2.0,True,20.0,61.170889445000284,
97,ok,21.0,18,18.0,True,21.0,53.916762774000745,
98,ok,12.0,11,11.0,True,22.0,40.68329168499986,
99,ok,9.40000000000001,85/9,9.444444444444445,True,21.0,35.61587251600031,
100,ok,20.0,19,19.0,True,22.0,46.40227097800016,
